id,title,author,label
16,Wells Fargo Chief Abruptly Steps Down The New York Times,Michael Corkery and Stacy Cowley,0
17,Anonymous Donor Pays $2.5 Million To Release Everyone Arrested At The Dakota Access Pipeline,Starkman,1
18,FBI Closes In On Hillary!,The Doc,1
19,Chuck Todd: ’BuzzFeed Did Donald Trump a Political Favor’ Breitbart,Jeff Poor,0
20,News: Hope For The GOP: A Nude Paul Ryan Has Just Emerged From An Ayahuasca Tent With Visions Of A New Republican Party,nan,1
21,"Monica Lewinsky, Clinton Sex Scandal Set for ’American Crime Story’",Jerome Hudson,0
22,Rob Reiner: Trump Is ’Mentally Unstable’ Breitbart,Pam Key,0
23,Massachusetts Cop’s Wife Busted for Pinning Fake Home Invasion Robbery on Black Lives Matter,nan,1
24,Abortion Pill Orders Rise in 7 Latin American Nations on Zika Alert The New York Times,Donald G. McNeil Jr. and Pam Belluck,0
25,Nukes and the UN: a Historic Treaty to Ban Nuclear Weapons,Ira Helfand,1
26,EXCLUSIVE: Islamic State Supporters Vow to ‘Shake’ the West Following Manchester Terrorist Massacre Breitbart,Aaron Klein and Ali Waked,0
27,Humiliated Hillary Tries To Hide What Camera Caught 15 Mins Before Rally,Amanda Shea,1
28,Andrea Tantaros of Fox News Claims Retaliation for Sex Harassment Complaints The New York Times,Jim Dwyer,0
34,"Bayer Deal for Monsanto Follows Agribusiness Trend, Raising Worries for Farmers The New York Times","Leslie Picker, Danny Hakim and Michael J. de la Merced",0
35,Russia Moves to Ban Jehovah’s Witnesses as ‘Extremist’ The New York Times,Andrew Higgins,0
36,"Re: Why We Are Still In ‘The Danger Zone’ Until January 20th, 2017",greanfinisher .,1
37,Open Thread (NOT U.S. Election) 2016-39,b,1
38,Democrat Gutierrez Blames Chicago’s Gun Violence on NRA Breitbart,AWR Hawkins,0
39,Avoiding Peanuts to Avoid an Allergy Is a Bad Strategy for Most The New York Times,Aaron E. Carroll,0
40,MRI Shows Detailed Images of 20-Week Unborn Babies Breitbart,Dr. Susan Berry,0
41,4 of the Best Kinds of Milk That Aren’t Dairy,Alexandria Laredo,1
42,Ryan Lochte Dropped by Speedo USA and Other Retailers The New York Times,Katie Rogers,0
43,Can I have one girlfriend without you bastards f**king it up? asks Harry,nan,1
44,Conservatives Urge Sessions to Clean Out Obama’s Civil Rights Division  Breitbart,Ian Mason,0
45,Internal Inquiry Sealed the Fate of Roger Ailes at Fox The New York Times,"Jim Rutenberg, Ben Protess and Emily Steel",0
46,"Press TV Debate: Duff on Lebanon, Hezbollah and Aoun’s Presidency (3 videos)","Gordon Duff, Senior Editor",1
47,"СМИ Сербии приписали россиянам ""подготовку терактов"" в Черногории",nan,1
48,"Samsung, After Combustible Galaxy Note 7, Unveils New Smartphone The New York Times",Brian X. Chen,0
49,Poland Vows Referendum on Migrant Quota Amidst EU Pressure: ’The Public’s Voice Will Be Heard’ Breitbart,Virginia Hale,0
50,Sparking An Inner Revolution,Lance Schuttler,1
57,Cognition and True Islam A Book Review,M.R. Islam,1
58,"If Donald Trump Wins The Election, It Will Be The Biggest Miracle In US Political History",The Doc,1
59,Mindful Eating as Way to Fight Bingeing The New York Times,Jeff Gordinier,0
60,The Major Potential Impact of a Corporate Tax Overhaul The New York Times,Neil Irwin,0
61,I wonder what GLP will be like the day after the election?,Anonymous Coward (UID 12781064),1
62,3 Makers of World’s Smallest Machines Awarded Nobel Prize in Chemistry The New York Times,Kenneth Chang and Sewell Chan,0
63,"Massive Anti Trump Protests, Union Square NYC Live Stream",Truth Broadcast Network,1
64,"Review: ‘Lion’ Brings Tears for a Lost Boy, Wiped Dry by Google The New York Times",A. O. Scott,0
65,U.S. General: Islamic State Chemical Attack Had’No Impact’on U.S. Forces,Kristina Wong,0
66,"Jury finds all Oregon standoff defendants not guilty of federal conspiracy, gun charges",Admin,1
67,Clinton Campaign STUNNED As FBI Reportedly Reopens Probe Into Hillary Clinton Emails,The Doc,1
68,Pence Will Speak at Anti-Abortion Rally The New York Times,Jeremy W. Peters,0
69,Bernie Sanders Says What The Media Won’t Trump Is A Gutless Political Coward,Jason Easley,1
70,How To Make Briquettes From Daily Waste,Chris Black,1
